	site	month	site_month
Cleron_07_1	Cleron	July	Cleron_July
Cleron_07_2	Cleron	July	Cleron_July
Cleron_07_3	Cleron	July	Cleron_July
Cleron_08_1	Cleron	August	Cleron_August
Cleron_08_2	Cleron	August	Cleron_August
Cleron_08_3	Cleron	August	Cleron_August
Cleron_09_1	Cleron	September	Cleron_September
Cleron_09_2	Cleron	September	Cleron_September
Cleron_09_3	Cleron	September	Cleron_September
Parcey_07_1	Parcey	July	Parcey_July
Parcey_07_2	Parcey	July	Parcey_July
Parcey_07_3	Parcey	July	Parcey_July
Parcey_08_1	Parcey	August	Parcey_August
Parcey_08_2	Parcey	August	Parcey_August
Parcey_08_3	Parcey	August	Parcey_August
Parcey_09_1	Parcey	September	Parcey_September
Parcey_09_2	Parcey	September	Parcey_September
Parcey_09_3	Parcey	September	Parcey_September
