gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3,Atha_WT-Col-0_sl_LN2_Rep1_n2-1,Atha_WT-Col-0_sl_LN2_Rep2_n2-2,Atha_WT-Col-0_sl_LN2_Rep3_n2-3,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,Atha_WT-Col-0_sl_RNAlat_Rep3_rl3
AT1G01010,339,383,363,650,485,782,144,245,167,188,275,419
AT1G01020,126,117,89,60,112,119,55,54,49,42,74,63
AT1G01030,153,158,143,97,170,172,46,30,24,38,32,37
AT1G01040,1238,442,543,783,876,1046,533,455,337,454,692,615
AT1G01046,2,2,1,0,0,0,1,0,0,1,0,1
AT1G01050,1444,1005,979,1035,1238,1684,460,536,356,434,468,567
AT1G01060,1939,1459,1417,1038,1501,1450,472,506,409,485,507,761
AT1G01070,68,60,86,178,241,321,49,101,76,115,119,224
AT1G01080,913,823,988,509,779,879,198,190,125,168,144,240
AT1G01090,2775,1799,2051,1222,2669,2280,1065,1008,733,839,1184,1071
AT1G01100,4826,2393,2573,4083,2675,3486,1236,1027,775,969,1205,1286
AT1G01110,234,161,190,171,219,261,105,101,83,79,130,97
AT1G01120,5638,5111,5205,5769,9107,8738,4091,6330,4636,2400,3534,4316
AT1G01130,54,21,13,19,25,28,9,22,16,7,14,16
AT1G01140,1217,555,581,903,819,1125,322,488,309,240,474,536
AT1G01150,5,2,5,8,5,4,0,2,1,0,6,2
AT1G01160,699,453,487,582,659,849,258,228,192,291,384,395
AT1G01170,1034,709,683,678,721,1161,213,189,175,191,252,328
AT1G01180,387,448,445,708,666,858,143,372,293,273,445,363
AT1G01183,0,0,0,0,0,0,0,0,0,0,0,0
