gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3
AT1G01010,186.3793784,330.9306436,294.1493171,527.7068729,302.1340892,443.4873933
AT1G01020,72.35730274,101.5957664,73.79768737,46.45577628,70.7556269,65.8375777
AT1G01030,84.26330357,136.186526,115.6078307,78.65133735,105.8984692,97.73684064
AT1G01040,685.5574289,377.992674,435.8018947,633.6530727,543.7347395,593.8631904
AT1G01050,787.214193,877.9082712,800.8273955,842.1005635,774.9691925,953.9727796
AT1G01060,1114.539893,1229.778337,1121.716325,848.4998574,882.6791216,833.8979355
AT1G01070,38.05985656,52.03312931,70.33775297,140.894471,152.0622738,181.4275512
AT1G01080,502.8086553,710.1421029,801.439543,412.421567,483.0536594,507.6398244
AT1G01090,1527.43701,1552.068828,1659.654815,991.7210474,1661.421726,1293.159629
AT1G01100,2442.431213,2095.26428,2206.250106,3890.552745,1722.394885,1961.669667
AT1G01110,128.7517039,139.3462462,153.4940581,138.9595945,136.298012,148.2902022
AT1G01120,3105.484482,4405.423549,4208.279438,4680.813006,5666.422648,4956.271206
AT1G01130,28.01252163,19.59660268,11.30398154,15.71449135,16.17214717,15.79177901
AT1G01140,678.6117507,483.1557242,483.3646588,739.4443574,509.0974852,633.1372538
AT1G01150,3.053008673,1.565428932,4.211729179,6.472674704,3.037153773,2.047990689
AT1G01160,381.6381732,395.0876017,398.0555876,473.5967655,412.4419641,481.2219175
AT1G01170,550.7085103,639.8506381,575.6831806,557.228512,458.7248965,656.4926943
AT1G01180,212.4017652,387.9742302,361.3548223,575.1130966,415.3565098,486.5161488
AT1G01190,1.645836151,6.001714232,8.844911798,17.88778116,17.3084712,12.456005
AT1G01200,69.51407388,72.13658988,65.99250199,38.21154726,56.22852402,47.05278686
AT1G01210,99.45544408,65.01270357,73.32621427,91.94617891,41.7024557,58.99209477
AT1G01220,437.4630061,347.0779291,334.3464598,279.9556352,299.8991491,275.4121879
AT1G01225,30.04422288,27.88552554,28.58524576,12.20298113,26.2742946,31.17402617
AT1G01230,395.8740162,376.1038496,338.371323,333.2165351,320.620147,343.9022893
AT1G01240,138.7316934,152.28839,117.802619,155.2635667,170.7730382,162.0487359
AT1G01250,10.33627834,3.504806299,0,7.33140074,3.763573069,2.266331339
AT1G01260,544.7552044,401.6027438,358.2484418,618.3220811,299.6721357,404.5184616
AT1G01280,1.098950302,1.72940425,0,2.436019801,2.492761528,0.56709146
AT1G01290,120.3744297,85.88928344,93.75717396,132.223894,94.13704088,121.8405397
AT1G01300,3206.965391,3501.912905,3930.76662,2597.172036,2531.685512,2444.678731
AT1G01305,3.224443446,5.344126409,4.166873693,4.088602703,5.05844142,3.961532004
AT1G01310,9.268034842,20.96910227,21.28631791,21.16517748,35.07764901,14.73419923
AT1G01320,8280.937759,10031.87655,10136.16213,5201.759038,7153.965144,5377.750317
AT1G01340,61.11658149,80.68939331,82.9462128,144.0595277,128.5262063,131.9123995
AT1G01350,192.0568183,267.6675894,253.4150654,259.9545,260.098888,235.8826026
AT1G01355,6.057668536,3.435067327,3.357564332,4.910975858,5.014172757,2.821334988
AT1G01360,198.6126792,141.738522,151.6102212,171.5667379,151.2305265,200.1092266
AT1G01370,48.59328502,56.68631918,31.3435619,35.62341269,34.23253803,40.12155262
AT1G01380,160.9606559,129.759439,126.5599974,63.72442582,76.14904763,90.23650267
AT1G01390,522.7637136,503.7970071,559.6566658,228.8159455,383.3887052,271.7011935
AT1G01410,1.09268878,0,1.633128729,3.253965324,0.625514386,1.700425195
AT1G01420,78.27076998,111.7080206,112.368522,40.64580173,50.0073165,54.8101876
AT1G01430,853.4855556,1492.264743,1234.106964,857.5325888,1108.53649,1049.365066
AT1G01440,421.2243676,553.4533223,511.996334,646.1935752,597.6799227,624.6156968
AT1G01448,176.5668718,272.2232526,268.8375131,325.2610196,316.4716578,307.0737669
AT1G01450,82.84269824,96.17702675,127.5499226,147.0459102,115.4061948,122.4754441
AT1G01453,13.92462378,29.89495525,55.45112257,31.08468701,46.32250679,25.69893889
AT1G01460,1.100526669,1.726155118,5.666402797,4.8698009,3.113047227,1.134321771
AT1G01470,779.0963062,978.1972415,913.8776772,815.0138138,1041.588589,911.1435765
AT1G01480,72.95263109,63.59154836,36.78680357,85.36026008,34.7210278,62.28986276
AT1G01490,774.7855585,923.0945924,997.4729096,2550.31682,1191.024848,1363.4834
AT1G01500,161.7209927,149.3807185,162.7755648,247.5759163,154.4421876,179.2175189
AT1G01510,932.5866479,687.0450994,767.9895151,987.6693319,663.7216889,757.340709
AT1G01520,102.2465965,8.825754546,18.28275819,22.40397719,15.36470301,26.55932445
AT1G01530,2.707791447,0,1.650922681,0,3.145614965,2.265380884
AT1G01540,896.0742896,874.6126164,857.2768139,1213.671412,798.4171064,866.1203634
AT1G01550,1365.083415,2065.355924,1752.567499,1854.222816,2299.671274,2396.752
AT1G01560,9.343860087,6.933852556,7.213222724,7.421778983,4.388593066,11.33196254
AT1G01570,24.68489956,18.30593579,34.33933835,29.74185832,37.82211312,23.35523222
AT1G01580,188.6093695,95.36676147,143.1517595,251.6927179,126.5699599,233.9356077
AT1G01590,17.10608284,12.89874613,12.10113337,19.4616608,8.700648787,11.34589854
AT1G01600,313.7184955,251.3683902,241.4584463,249.824725,338.2650641,275.1188973
AT1G01610,2007.053659,1919.35281,1877.10771,1597.092025,1551.766152,1542.729403
AT1G01620,3900.649184,10042.54267,8444.956874,7957.672216,15418.07076,11817.36633
AT1G01630,586.8284458,715.1405725,677.8839478,330.5877669,721.4794572,545.4971659
AT1G01640,58.52637203,118.4342533,137.7979621,212.9511347,344.0563637,356.6911199
AT1G01650,452.5736165,377.8822876,482.1528112,411.7783018,437.9834627,409.4756726
AT1G01660,35.32974174,22.1211665,26.33571753,56.05521605,47.28682311,39.18460315
AT1G01670,43.83487592,11.52967278,7.71008829,53.39490448,9.316714282,31.7526078
AT1G01680,0.547204274,0.869431529,2.444988289,0,1.874620361,0.566887314
AT1G01690,81.48431531,54.41010616,48.53813823,61.68441586,56.48885355,56.06876115
AT1G01695,2.198741528,1.728535921,8.105189334,4.871442314,4.361246871,3.969770348
AT1G01700,12.06837827,21.58484015,18.72353362,11.41454562,16.08579122,11.6108179
AT1G01710,377.7376442,380.140794,349.2171453,493.5960018,396.8025082,475.2493889
AT1G01715,18.73842338,8.589730617,18.7846128,33.2997085,10.17008323,16.50580595
AT1G01720,2805.501652,3594.64607,2726.694891,2810.851934,2150.763905,2326.278856
AT1G01725,62.97682565,89.90508302,80.69524738,31.95966814,92.73483941,77.47860844
AT1G01730,415.9330417,387.6953005,363.4265882,368.3103084,362.393784,441.6106204
AT1G01740,55.92188305,35.33614543,46.29185232,51.59009403,30.99556107,33.30766728
AT1G01750,64.74894168,76.50839521,115.5465751,56.27624804,157.0620813,111.3530254
AT1G01760,50.89013098,41.48634256,40.99696662,54.54269929,41.96645367,45.39432571
AT1G01770,295.0214812,224.6333466,231.721342,635.883604,267.3498228,468.5595244
AT1G01780,511.4691591,493.3544712,486.839873,784.9610151,744.5777618,771.2168714
AT1G01790,525.2541594,532.3330504,468.0843445,344.4482193,404.0852759,420.4194148
AT1G01800,734.5750742,517.5528324,476.2256989,621.6624098,410.8608351,592.2258051
AT1G01810,18.31543462,19.53252586,10.80197074,12.25676172,18.30795565,11.32120572
AT1G01820,455.7205387,448.9147543,454.2240024,714.4762249,562.6514181,697.3314311
AT1G01830,262.0468527,308.4782944,281.2504197,383.7828604,296.9965476,273.739354
AT1G01840,11.94297223,19.33103436,19.752156,17.93327329,21.98460723,13.59531897
AT1G01860,180.6722586,102.8215209,99.57064737,86.57360887,82.46124661,83.45534619
AT1G01880,29.49643128,27.33900238,31.82480486,53.89404491,26.52258612,32.9259452
AT1G01900,283.0663361,273.4682299,319.4859362,272.4668859,367.9230686,292.1558756
AT1G01910,523.0251343,401.3346254,420.6960296,411.641822,392.6755175,358.9294855
AT1G01920,233.5559173,169.3420729,180.8534481,222.598525,136.9764102,175.5335092
AT1G01930,252.8729326,224.0492136,206.1202444,332.6420876,223.9652398,281.340273
AT1G01940,164.2272176,121.8564518,132.2229155,114.0584003,106.6622197,145.6064651
AT1G01950,513.4405372,494.1738173,444.333857,405.4876944,391.7487679,395.5727603
AT1G01960,3322.586728,2794.472893,2773.580161,3361.595516,2657.196778,2898.548881
AT1G01970,309.5751294,344.6934477,342.7120374,306.8683614,230.4734989,262.0122436
AT1G01980,2.752626422,5.17523731,12.94430792,26.77981484,13.07075154,7.373389361
AT1G01990,392.5131351,681.3445275,599.9228918,507.6538449,468.920135,536.4260152
AT1G02000,299.1350237,496.3884176,493.9108729,501.4053375,528.2022658,469.6547184
AT1G02010,154.6325588,137.0443077,108.3978861,176.8086123,139.355048,181.8167664
