genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT4G11911,440.6732193,10.01197612,0.949210349,10.54768959,5.21E-26,7.93E-24
AT4G21830,54.53418657,9.421513357,1.70515975,5.525296592,3.29E-08,6.40E-07
AT2G39030,16340.78493,9.260454989,0.672037713,13.77966565,3.38E-43,1.69E-40
AT4G15200,784.0813068,9.05463297,0.791789225,11.43566076,2.77E-30,6.26E-28
AT1G51780,2067.967683,9.034621327,1.046139259,8.636155509,5.81E-18,4.33E-16
AT4G10290,800.9199826,8.853689373,0.807422142,10.96537848,5.61E-28,1.04E-25
AT5G26260,191.5339118,8.771102114,1.163157727,7.540767609,4.67E-14,2.36E-12
AT4G37409,473.9380423,8.643197683,0.598358359,14.44485157,2.70E-47,1.62E-44
AT4G37410,1118.892524,8.574595145,0.625495222,13.70849024,9.03E-43,4.24E-40
AT3G11180,45.69911828,8.443734547,1.166776318,7.23680659,4.59E-13,2.11E-11
AT3G28320,26.43611802,8.37530591,1.780934129,4.702760071,2.57E-06,3.12E-05
AT3G55100,38.50539248,8.195210865,1.488696609,5.504957032,3.69E-08,7.10E-07
AT3G26330,974.8229764,8.1502272,0.639157141,12.75152333,3.06E-37,1.09E-34
AT4G15210,32264.95682,8.141223815,0.66359717,12.26832209,1.34E-34,4.25E-32
AT5G38130,400.3136183,8.097630236,0.689651665,11.74162356,7.80E-32,1.97E-29
AT5G42800,4585.185319,7.944138531,0.383485892,20.71559525,2.51E-95,8.40E-92
AT5G24780,217489.5415,7.919079285,0.466843653,16.96302227,1.54E-64,1.64E-61
AT3G55970,1861.282087,7.893268025,0.712770863,11.07406101,1.68E-28,3.20E-26
AT1G66280,30.40368436,7.853366508,1.618786322,4.851391689,1.23E-06,1.65E-05
AT4G11310,46.09752152,7.73175804,1.125482446,6.869727796,6.43E-12,2.50E-10
AT3G09940,27.84855238,7.726150445,1.535629542,5.031259321,4.87E-07,7.18E-06
AT1G76640,27.8544289,7.726009618,1.536090233,5.029658707,4.91E-07,7.23E-06
AT3G45130,542.1815727,7.587079475,0.741592949,10.23078697,1.44E-24,1.98E-22
AT5G42655,14.94257494,7.559948036,1.124432602,6.723344751,1.78E-11,6.37E-10
AT4G17470,7439.52117,7.559345951,0.678017044,11.14919753,7.23E-29,1.41E-26
AT4G15100,317.70723,7.555142691,0.912536563,8.279276684,1.24E-16,8.19E-15
AT4G22880,3533.08812,7.509996982,0.201537906,37.26344656,6.42E-304,1.51E-299
AT5G07010,1260.703209,7.491777708,0.771485764,9.710843746,2.71E-22,3.01E-20
AT1G69930,14.26807159,7.491068772,1.298829159,5.767555125,8.04E-09,1.75E-07
AT4G29690,74.85529974,7.444775409,0.797795696,9.331681592,1.04E-20,1.04E-18
AT4G22870,37.36888946,7.440996201,1.012585227,7.34851349,2.00E-13,9.52E-12
AT1G28480,140.1529682,7.369952679,1.248074189,5.905059767,3.53E-09,8.23E-08
AT2G47950,21.64867262,7.365132997,1.240109422,5.939099296,2.87E-09,6.79E-08
AT3G29110,11.62775165,7.192293945,2.304823601,3.120539872,0.001805199,0.008731145
AT1G26250,31.61339642,7.172118193,1.157369329,6.196913997,5.76E-10,1.57E-08
AT3G50280,274.4466395,7.168790847,0.465361488,15.40477895,1.52E-53,1.05E-50
AT1G26255,31.19904518,7.153030802,1.156927294,6.182783344,6.30E-10,1.71E-08
AT1G26390,10.53307267,7.051348163,1.14530702,6.156731809,7.43E-10,1.98E-08
