CpG_id	Symbol	Description
cg00000292	ATP2A1	ATPase; Ca++ transporting; fast twitch 1 isoform a
cg00002426	SLMAP	sarcolemma associated protein
cg00003994	MEOX2	mesenchyme homeo box 2
cg00005847	HOXD3	homeobox D3
cg00006414	ZNF398	zinc finger 398 isoform b
cg00007981	PANX1	pannexin 1
cg00008493	COX8C	cytochrome c oxidase subunit 8C
cg00008713	IMPA2	inositol(myo)-1(or 4)-monophosphatase 2
cg00009407	TTC8	tetratricopeptide repeat domain 8 isoform B
cg00010193	FLJ35816	hypothetical protein LOC401114
cg00011459	PMM2	phosphomannomutase 2
cg00012199	RNASE4	ribonuclease; RNase A family; 4 precursor
cg00012386	C1orf142	hypothetical protein LOC116841
cg00012792	TXNDC5	thioredoxin domain containing 5 isoform 1
cg00013618		
cg00014085	RetSat	all-trans-13;14-dihydroretinol saturase
cg00014837	ACRBP	proacrosin binding protein sp32 precursor
cg00015770	GPR103	G protein-coupled receptor 103
cg00016968	RHOC	ras homolog gene family; member C
cg00019495	HOP	homeodomain-only protein
cg00020533	TULP1	tubby like protein 1
cg00021527	TAF15	TBP-associated factor 15 isoform 2
cg00022606	TBC1D20	TBC1 domain family; member 20
cg00022866	FLJ37970	hypothetical protein LOC283234
cg00024396	ELOVL5	homolog of yeast long chain polyunsaturated fatty acid elongatio
cg00024812	CPSF3	cleavage and polyadenylation specific factor 3; 73kDa
cg00025138	MAP3K9	mitogen-activated protein kinase kinase kinase 9
cg00025991	DIP2C	hypothetical protein LOC22982
cg00027083	EPB41L3	erythrocyte membrane protein band 4.1-like 3
cg00027674	RAB38	RAB38
cg00029826	CCNB1IP1	cyclin B1 interacting protein 1 isoform a
cg00029931	RPL36A	ribosomal protein L36a
cg00030047	C1orf188	hypothetical protein LOC148646
cg00031162	TNFSF12-TNFSF13	tumor necrosis factor (ligand) superfamily; member 12-member 13
cg00032227	NAT9	N-acetyltransferase 9
cg00032666	CXorf6	hypothetical protein LOC10046
cg00033516	KLF3	Kruppel-like factor 3 (basic)
cg00033773	MORG1	mitogen-activated protein kinase organizer 1
cg00034039	C9orf85	hypothetical protein LOC138241 isoform a
cg00035347	NT5C2	5prime-nucleotidase; cytosolic II
cg00035623	UBE2S	ubiquitin carrier protein
cg00037763	SETBP1	SET binding protein 1
cg00037940	PIK3CB	phosphoinositide-3-kinase; catalytic; beta polypeptide
cg00040861	LSM7	U6 snRNA-associated Sm-like protein LSm7
cg00040873	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex; 10; 22kDa
cg00041575	TSPAN32	tumor-suppressing subtransferable candidate 6 isoform 1
cg00042156	MGC16291	hypothetical protein LOC84856
cg00043004	NOXO1	NADPH oxidase organizer 1 isoform a
cg00043080	PLD3	phospholipase D3 isoform 2
cg00044245	EPHA7	ephrin receptor EphA7
cg00044729	FLJ25421	hypothetical protein LOC150350
cg00047050	CUL5	Vasopressin-activated calcium-mobilizing receptor-1
cg00047469	C9orf43	hypothetical protein LOC257169
cg00049986	C14orf10	chromosome 14 open reading frame 10
cg00050312	PRKCA	protein kinase C; alpha
cg00051623	CASP1	caspase 1 isoform delta
cg00051979	C10orf4	FRA10AC1 protein isoform FRA10AC1-3.1
cg00053292	CCDC44	clone HQ0477 PRO0477p
cg00053647	C7orf28B	hypothetical protein LOC221960
cg00054706	C1D	nuclear DNA-binding protein
cg00055233	RLN1	relaxin 1 preproprotein
cg00056767	FLJ38725	hypothetical protein LOC144811
cg00057593	GML	GPI anchored molecule like protein
cg00058938	TTC9B	hypothetical protein LOC148014
cg00059225	GLRA1	glycine receptor; alpha 1
cg00059424	PES1	pescadillo homolog 1; containing BRCT domain
cg00059740	MGC5242	hypothetical protein LOC78996
cg00059930	RB1	retinoblastoma 1
cg00060762	LEO1	Leo1; Paf1/RNA polymerase II complex component; homolog
cg00060882	EIF2S3	eukaryotic translation initiation factor 2; subunit 3 gamma; 52kDa
cg00061059	GPSN2	glycoprotein; synaptic 2
cg00061629	ALX4	aristaless-like homeobox 4
cg00062776	TULP2	tubby like protein 2
cg00063144	KRTHA1	type I hair keratin 1
cg00065385	ACTL7A	actin-like 7A
cg00065408	CACNB3	calcium channel; voltage-dependent; beta 3 subunit
cg00066153	ACRV1	acrosomal vesicle protein 1 isoform b precursor
cg00066816	IL12B	interleukin 12B precursor
cg00067471	ATP5D	ATP synthase; H+ transporting; mitochondrial F1 complex; delta subunit precursor
cg00069261	CDR2	cerebellar degeneration-related protein 2
cg00071250	FASLG	fas ligand
